"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"	"Outlier_Type"
"345"	1	1000	0	2.6804	0.37565	38098	"Bayescan Host"
"346"	0.9904	2.0135	0.0014845	1.9865	0.27183	38148	"Bayescan Host"
"347"	1	1000	0	2.8167	0.39866	38893	"Bayescan Host"
"348"	0.999	2.9995	0.00012128	2.3089	0.31767	39313	"Bayescan Host"
"349"	0.95439	1.3207	0.0081453	1.9219	0.266	40910	"Bayescan Host"
"350"	1	1000	0	2.6078	0.36394	41138	"Bayescan Host"
"351"	0.9992	3.0965	9.2701e-05	2.308	0.31738	41139	"Bayescan Host"
"352"	0.9984	2.7951	0.00023026	2.4659	0.34339	41524	"Bayescan Host"
"353"	0.88958	0.90613	0.017586	1.705	0.24065	42842	"Bayescan Host"
"354"	1	1000	0	2.5914	0.36078	42843	"Bayescan Host"
"355"	0.9978	2.6565	0.00031376	2.4537	0.3416	43085	"Bayescan Host"
"356"	1	1000	0	2.5784	0.35883	43103	"Bayescan Host"
"357"	1	1000	0	2.7202	0.38039	43509	"Bayescan Host"
"358"	0.70314	0.37449	0.049231	1.3095	0.20266	44277	"Bayescan Host"
"359"	0.76155	0.50431	0.042069	1.3523	0.20375	45398	"Bayescan Host"
"360"	0.9776	1.6398	0.0040948	2.0097	0.27645	46388	"Bayescan Host"
"361"	0.9998	3.6988	2.2227e-05	2.5313	0.35348	46695	"Bayescan Host"
"362"	1	1000	0	2.6035	0.36273	46698	"Bayescan Host"
"363"	1	1000	0	2.6362	0.36735	46700	"Bayescan Host"
"364"	0.96599	1.4534	0.0059	2.0739	0.28725	46884	"Bayescan Host"
"365"	0.9966	2.467	0.00052589	2.2145	0.30476	46885	"Bayescan Host"
"366"	1	1000	0	2.691	0.37691	47028	"Bayescan Host"
"367"	0.9934	2.1775	0.00094076	2.0073	0.27466	47872	"Bayescan Host"
"368"	0.9832	1.7672	0.0029749	2.2124	0.30623	48321	"Bayescan Host"
"369"	0.89258	0.91956	0.016701	1.6647	0.23435	48655	"Bayescan Host"
"370"	0.9906	2.0227	0.0014416	2.1154	0.29035	48713	"Bayescan Host"
"371"	0.9994	3.2215	6.2724e-05	2.4683	0.3437	49252	"Bayescan Host"
"372"	1	1000	0	2.6494	0.37044	49766	"Bayescan Host"
"373"	0.79056	0.57687	0.037027	1.4802	0.21852	49948	"Bayescan Host"
"374"	0.9784	1.656	0.0039396	1.8232	0.24984	50071	"Bayescan Host"
"375"	0.90038	0.95608	0.015536	1.8613	0.26244	52571	"Bayescan Host"
"376"	0.77415	0.53502	0.040007	1.449	0.21574	53590	"Bayescan Host"
"377"	0.94919	1.2714	0.0091607	1.9935	0.27621	53815	"Bayescan Host"
"378"	1	1000	0	2.6164	0.36431	54354	"Bayescan Host"
"379"	0.80756	0.62288	0.03284	1.4788	0.21767	55937	"Bayescan Host"
"380"	0.988	1.9155	0.0019574	2.2993	0.31929	56693	"Bayescan Host"
"381"	0.92438	1.0872	0.012738	1.8713	0.26135	57347	"Bayescan Host"
"382"	0.80876	0.62625	0.03148	1.5376	0.22479	57348	"Bayescan Host"
"383"	0.73115	0.43449	0.045532	1.3232	0.20245	57944	"Bayescan Host"
"384"	0.9926	2.1275	0.0011794	2.3538	0.32785	58096	"Bayescan Host"
"385"	0.9888	1.9458	0.0017555	2.3529	0.32764	58097	"Bayescan Host"
"386"	0.9852	1.8232	0.0026606	2.0469	0.28098	58427	"Bayescan Host"
"387"	1	1000	0	2.8133	0.38412	19952	"Bayescan Location"
"388"	1	1000	0	2.8183	0.38472	19953	"Bayescan Location"
"389"	0.88838	0.90085	0.019937	1.9936	0.29337	22449	"Bayescan Location"
"390"	1	1000	0	2.6347	0.36201	22459	"Bayescan Location"
"391"	0.9994	3.2215	0.00014548	2.5247	0.34922	23679	"Bayescan Location"
"392"	0.88418	0.88274	0.023362	2.0807	0.30343	23693	"Bayescan Location"
"393"	0.78256	0.55617	0.039452	1.9032	0.2886	23694	"Bayescan Location"
"394"	1	1000	0	3.1684	0.4314	23705	"Bayescan Location"
"395"	0.90378	0.9728	0.012611	1.9882	0.29181	23720	"Bayescan Location"
"396"	0.9954	2.3352	0.0011502	2.3519	0.32945	24076	"Bayescan Location"
"397"	0.88058	0.86768	0.029706	1.9909	0.29348	25134	"Bayescan Location"
"398"	0.9938	2.2048	0.0014473	2.2659	0.31941	25140	"Bayescan Location"
"399"	1	1000	0	2.6408	0.3626	25141	"Bayescan Location"
"400"	0.97019	1.5126	0.0047737	2.1104	0.30307	25198	"Bayescan Location"
"401"	0.84617	0.74041	0.03371	2.1365	0.3128	29039	"Bayescan Location"
"402"	1	1000	0	2.8251	0.38658	31719	"Bayescan Location"
"403"	0.9998	3.6988	2.5005e-05	2.8168	0.3855	31720	"Bayescan Location"
"404"	0.9996	3.3977	0.00010002	2.8137	0.38496	31721	"Bayescan Location"
"405"	0.9992	3.0965	0.00020004	2.6876	0.36939	32125	"Bayescan Location"
"406"	0.88238	0.87516	0.026612	2.1112	0.30731	32762	"Bayescan Location"
"407"	0.9956	2.3545	0.00092018	2.4206	0.33748	32767	"Bayescan Location"
"408"	0.9966	2.467	0.00044624	2.6137	0.3612	32784	"Bayescan Location"
"409"	0.979	1.6685	0.0035817	2.3553	0.33055	32806	"Bayescan Location"
"410"	0.9908	2.0321	0.0021267	2.9969	0.41156	32808	"Bayescan Location"
"411"	0.88858	0.90172	0.016411	1.9558	0.28906	37876	"Bayescan Location"
"412"	0.9934	2.1775	0.0017337	2.7795	0.38148	40153	"Bayescan Location"
"413"	0.9862	1.854	0.0027105	2.2858	0.32216	40156	"Bayescan Location"
"414"	0.71194	0.39297	0.046985	1.7593	0.27704	40166	"Bayescan Location"
"415"	1	1000	0	2.8911	0.39367	43857	"Bayescan Location"
"416"	0.94279	1.2169	0.0091268	2.1988	0.31466	43861	"Bayescan Location"
"417"	0.9964	2.442	0.00067156	2.4641	0.34236	43862	"Bayescan Location"
"418"	0.94319	1.2202	0.0070362	2.2746	0.32318	43871	"Bayescan Location"
"419"	0.9996	3.3977	0.00010002	3.1467	0.43021	50554	"Bayescan Location"
